Type,Name,Path,Size,Risk,Recommendation,Impact
File,"auth.gs","auth.gs",4280,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"backendProgressSync.js.html","backendProgressSync.js.html",8152,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"ClientOptimizer.html","ClientOptimizer.html",9695,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"Code.gs","Code.gs",62356,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"config.gs","config.gs",6414,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"constants.gs","constants.gs",39635,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"constants.js.html","constants.js.html",6347,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"Core.gs","Core.gs",166084,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"database.gs","database.gs",103568,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"debugConfig.gs","debugConfig.gs",4803,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"ErrorBoundary.html","ErrorBoundary.html",22189,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"errorHandler.gs","errorHandler.gs",8170,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"errorMessages.js.html","errorMessages.js.html",11455,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"lockManager.gs","lockManager.gs",2935,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"monitoring.gs","monitoring.gs",12039,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"page.css.html","page.css.html",15658,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"Page.html","Page.html",118610,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"Registration.html","Registration.html",41839,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"resilientExecutor.gs","resilientExecutor.gs",11570,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"secretManager.gs","secretManager.gs",22690,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"session-utils.gs","session-utils.gs",13106,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"setup.gs","setup.gs",3529,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"SharedModals.html","SharedModals.html",76666,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"ulog.gs","ulog.gs",6864,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"UnifiedCache.js.html","UnifiedCache.js.html",942,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"unifiedCacheManager.gs","unifiedCacheManager.gs",78966,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"unifiedUtilities.gs","unifiedUtilities.gs",9993,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"Unpublished.html","Unpublished.html",11340,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
File,"url.gs","url.gs",15578,"medium","テスト後削除：機能テスト後に削除を検討","Medium"
Function,"setupStep","constants.gs",0,"medium","テスト後削除：動作確認後に削除を検討","Low"
Function,"cleanupExpired","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"dms","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"resolveValue","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"invalidateCacheForSpreadsheet","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"updateUserDatabaseField","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"clearUserCache","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"deleteAll","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"initializeSystem","constants.gs",0,"medium","テスト後削除：動作確認後に削除を検討","Low"
Function,"initializeComponent","constants.gs",0,"medium","テスト後削除：動作確認後に削除を検討","Low"
Function,"performInitialHealthCheck","constants.gs",0,"medium","テスト後削除：動作確認後に削除を検討","Low"
Function,"performBasicHealthCheck","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"shutdown","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"fallbackBatchGet","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"batchUpdate","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"batchCache","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"setupStatus","constants.gs",0,"medium","テスト後削除：動作確認後に削除を検討","Low"
Function,"sendSecurityAlert","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"checkLoginStatus","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"updateLoginStatus","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"sheetDataCache","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"checkServiceAccountConfiguration","constants.gs",0,"medium","テスト後削除：動作確認後に削除を検討","Low"
Function,"validateUserScopedKey","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"performServiceAccountHealthCheck","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"argumentMapper","constants.gs",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"getClientId","login.js.html",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"handleLoginError","login.js.html",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"measurePerformance","Page.html;page.js.html",0,"medium","テスト後削除：動作確認後に削除を検討","High"
Function,"handleKeydown","page.js.html",0,"low","安全に削除可能：バックアップ後に削除","Low"
Function,"testDebounce","SharedUtilities.html",0,"low","安全に削除可能：バックアップ後に削除","Low"